mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.054400157928466794,0.03601504298523683,0.041405105590820314,0.021223805958569028,,1,2,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6842105263157895,0.9473684210526315,0.85,0.7894736842105263,0.9473684210526315,0.8436842105263158,0.09991131801825076,20
0.029196929931640626,0.01237011263175822,0.025202369689941405,0.0076249887121983915,,1,5,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6842105263157895,0.9473684210526315,0.85,0.7894736842105263,0.8947368421052632,0.8331578947368421,0.09078909229515619,23
0.032996320724487306,0.0057659926836711095,0.02839813232421875,0.008837574881711711,,1,10,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7368421052631579,0.9473684210526315,0.85,0.7894736842105263,1.0,0.8647368421052631,0.09732716053232683,13
0.0346031665802002,0.013968866601157768,0.026593875885009766,0.009773956808865045,,2,2,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.631578947368421,0.8947368421052632,0.85,0.8947368421052632,0.9473684210526315,0.8436842105263158,0.11044608616939988,20
0.03120388984680176,0.0076799390962312445,0.03679513931274414,0.014347193206412165,,2,5,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6842105263157895,0.8947368421052632,0.85,0.8421052631578947,0.8421052631578947,0.8226315789473684,0.07192640128781688,25
0.02339181900024414,0.0046676241344439234,0.028799104690551757,0.0031903563237711935,,2,10,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7368421052631579,0.8947368421052632,0.9,0.7894736842105263,1.0,0.8642105263157894,0.09215186790837597,16
0.02080216407775879,0.004080562134817516,0.02559661865234375,0.0055776348229398896,,4,2,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7894736842105263,0.9473684210526315,0.9,0.8421052631578947,1.0,0.8957894736842105,0.0744620597213785,1
0.017998647689819337,0.0006319599583619915,0.029803657531738283,0.006308072888034715,,4,5,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7368421052631579,0.9473684210526315,0.9,0.8421052631578947,1.0,0.8852631578947368,0.09069751254121271,9
0.02420015335083008,0.006621552974428476,0.0344027042388916,0.015210510306244509,,4,10,"{'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7894736842105263,0.9473684210526315,0.9,0.8421052631578947,1.0,0.8957894736842105,0.0744620597213785,1
0.021600675582885743,0.0032682947952366254,0.015198373794555664,0.003426885567370679,5,1,2,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.6842105263157895,0.9473684210526315,0.85,0.8947368421052632,0.9473684210526315,0.8647368421052631,0.09732716053232683,13
0.027196502685546874,0.010439078341801869,0.03940601348876953,0.019272788330125152,5,1,5,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6842105263157895,0.9473684210526315,0.85,0.8947368421052632,0.8421052631578947,0.8436842105263157,0.08812607438295195,22
0.021001243591308595,0.0036844139872321963,0.01860179901123047,0.002567972011314881,5,1,10,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7368421052631579,0.9473684210526315,0.9,0.8947368421052632,1.0,0.8957894736842105,0.08809463559119023,1
0.02400684356689453,0.010058095659121056,0.03659520149230957,0.013283257682311315,5,2,2,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.631578947368421,0.9473684210526315,0.85,0.7894736842105263,0.8421052631578947,0.8121052631578948,0.10366684332240533,27
0.040797996520996097,0.010186192799167756,0.041999530792236325,0.010656566179342896,5,2,5,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6842105263157895,0.9473684210526315,0.85,0.8947368421052632,1.0,0.875263157894737,0.10796018554101257,10
0.0409942626953125,0.016859581994965487,0.03800840377807617,0.02246744239461174,5,2,10,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7894736842105263,0.9473684210526315,0.9,0.7894736842105263,1.0,0.8852631578947369,0.08436827330321632,6
0.027995824813842773,0.005762818624983188,0.023203325271606446,0.005741528062833269,5,4,2,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7368421052631579,0.9473684210526315,0.8,0.8421052631578947,1.0,0.8652631578947367,0.09610705019379644,11
0.01739811897277832,0.0024172090564577135,0.01920309066772461,0.004214050028853251,5,4,5,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7368421052631579,0.9473684210526315,0.8,0.8947368421052632,0.8947368421052632,0.8547368421052631,0.07573097157307347,17
0.015197992324829102,0.0013252183889131811,0.013000726699829102,0.003347224750061526,5,4,10,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7894736842105263,0.9473684210526315,0.9,0.8421052631578947,1.0,0.8957894736842105,0.0744620597213785,1
0.014197158813476562,0.0031240056906196075,0.01880221366882324,0.007081179709447067,10,1,2,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7368421052631579,0.9473684210526315,0.8,0.7894736842105263,1.0,0.8547368421052631,0.10083309486170987,17
0.014998912811279297,0.001549666711891648,0.012602949142456054,0.0033851000924861904,10,1,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.6842105263157895,0.8947368421052632,0.85,0.8421052631578947,0.8421052631578947,0.8226315789473684,0.07192640128781688,25
0.017805051803588868,0.004164688566982206,0.012597894668579102,0.004317307997766029,10,1,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.7368421052631579,0.9473684210526315,0.85,0.7894736842105263,1.0,0.8647368421052631,0.09732716053232683,13
0.01619577407836914,0.0033125136307970765,0.014001560211181641,0.0016739972600396708,10,2,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.9473684210526315,0.8542105263157895,0.09635460822563592,19
0.018400096893310548,0.004588217821119025,0.014402103424072266,0.004127397113917511,10,2,5,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.6842105263157895,0.9473684210526315,0.85,0.8421052631578947,0.8421052631578947,0.8331578947368421,0.08446671556761964,23
0.015401363372802734,0.0010239024602159232,0.01320028305053711,0.0021345503780252598,10,2,10,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7368421052631579,0.8947368421052632,0.9,0.8947368421052632,1.0,0.8852631578947369,0.08436827330321635,6
0.015198755264282226,0.001831178514446086,0.010999202728271484,0.00374814194033652,10,4,2,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.7368421052631579,0.9473684210526315,0.8,0.8421052631578947,1.0,0.8652631578947367,0.09610705019379644,11
0.024994945526123045,0.007510592665444483,0.01920461654663086,0.013837574302588328,10,4,5,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7368421052631579,0.9473684210526315,0.9,0.8947368421052632,0.9473684210526315,0.8852631578947369,0.07752401111377671,6
0.017397642135620117,0.0028710176254711957,0.015800857543945314,0.0017215725656044643,10,4,10,"{'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7894736842105263,0.9473684210526315,0.9,0.8421052631578947,1.0,0.8957894736842105,0.0744620597213785,1
